Timestamp,Age:,Gender,  Which district do you live in?  ,  Which supermarket do you shop at most frequently?  ,  How often do you shop at supermarkets?  ,What are the main reasons you shop at your primary supermarket? (Select all that apply)  , How satisfied are you with your primary supermarket on the following aspects?   [Product Variety], How satisfied are you with your primary supermarket on the following aspects?   [Pricing], How satisfied are you with your primary supermarket on the following aspects?   [Customer Service], How satisfied are you with your primary supermarket on the following aspects?   [Availability of Products], How satisfied are you with your primary supermarket on the following aspects?   [Promotions and Discounts], What improvements would you like to see in your primary supermarket?  
2024/08/08 9:18:42 pm GMT+5:30,25-34,Female,Matara,John Keells;Cargills,Monthly,Product Quality;Location;Promotions,Satisfied,Neutral,Neutral,Satisfied,Satisfied,
2024/08/08 9:18:48 pm GMT+5:30,18-24,Male,Galle,John Keells;Cargills,Weekly,Location,Satisfied,Neutral,Neutral,Satisfied,Satisfied,
2024/08/08 9:19:46 pm GMT+5:30,18-24,Male,Galle,John Keells;Cargills,Weekly;Monthly,Pricing;Product Quality;Location;Customer Service;Promotions,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,
2024/08/08 9:20:01 pm GMT+5:30,18-24,Female,Galle,John Keells,Weekly,Product Quality,Neutral,Neutral,Neutral,Neutral,Neutral,No one else 
2024/08/08 9:24:59 pm GMT+5:30,25-34,Male,Colombo,John Keells;Cargills,Weekly,Pricing;Product Quality;Product Variety,Satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Reduce prices
2024/08/08 9:25:05 pm GMT+5:30,18-24,Female,Colombo,John Keells;Cargills,Weekly,Pricing;Product Quality;Customer Service;Promotions,Satisfied,Satisfied,Very Satisfied,Neutral,Very Satisfied,Improve the quality of products
2024/08/08 9:29:04 pm GMT+5:30,18-24,Female,Galle,John Keells,Weekly,Customer Service;Promotions,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,We need to good quality of product and a fair price.
2024/08/08 9:32:58 pm GMT+5:30,25-34,Female,Colombo,Cargills,Monthly,Loyalty Programs,Dissatisfied,Neutral,Very Dissatisfied,Neutral,Neutral,
2024/08/08 9:34:35 pm GMT+5:30,45 and above,Male,Galle,John Keells,Weekly,Pricing;Product Quality;Promotions,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,
2024/08/08 9:42:15 pm GMT+5:30,25-34,Female,Matara,John Keells;Cargills;Arpico,Weekly,Product Quality;Promotions;Product Variety,Satisfied,Neutral,Very Satisfied,Satisfied,Satisfied,There is nothing special to say
2024/08/08 9:50:58 pm GMT+5:30,18-24,Female,Matara,Cargills,Weekly,Pricing;Location;Customer Service,Neutral,Neutral,Satisfied,Neutral,Satisfied,Increase the availability of products 
2024/08/08 9:59:19 pm GMT+5:30,18-24,Female,Colombo,John Keells,Daily,Product Quality,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Friendly and supportive service 
2024/08/08 10:01:48 pm GMT+5:30,35-44,Female,Kalutara,John Keells;Cargills;Arpico,Monthly,Pricing,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,
2024/08/08 10:07:48 pm GMT+5:30,18-24,Male,Gampaha,Cargills,Monthly,Product Variety,Very Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,
2024/08/08 10:13:39 pm GMT+5:30,18-24,Male,Kalutara,John Keells;Cargills,Weekly,Product Quality;Location;Customer Service;Promotions;Loyalty Programs,Satisfied,Neutral,Very Satisfied,Satisfied,Neutral,Customer services and better separation of goods
2024/08/08 10:23:40 pm GMT+5:30,25-34,Female,Colombo,John Keells;Cargills;Sathos,Weekly,Pricing;Product Quality;Product Variety,Satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Reduce the price
2024/08/08 10:24:36 pm GMT+5:30,35-44,Female,Galle,John Keells,Weekly,Product Quality,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,
2024/08/08 10:25:20 pm GMT+5:30,Under 18,Male,Colombo,John Keells,Weekly,Product Quality,Neutral,Very Satisfied,Satisfied,Very Satisfied,Very Dissatisfied,Coustomer service 
2024/08/08 10:26:41 pm GMT+5:30,18-24,Male,Kalutara,John Keells;Cargills,Weekly,Product Quality;Customer Service,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Introduce e-pay super cart 
2024/08/08 10:27:12 pm GMT+5:30,18-24,Female,Gampaha,John Keells;Arpico;Spar,Monthly,Product Quality;Location;Loyalty Programs;Product Variety,Very Satisfied,Neutral,Satisfied,Satisfied,Satisfied,
2024/08/08 10:27:56 pm GMT+5:30,18-24,Female,Colombo,Cargills,Weekly,Product Variety,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Hee
2024/08/08 11:37:14 pm GMT+5:30,18-24,Female,Colombo,Laugfs,Weekly,Loyalty Programs,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,
2024/08/08 11:54:46 pm GMT+5:30,18-24,Female,Galle,Cargills,Weekly,Product Quality,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,
2024/08/09 5:34:23 am GMT+5:30,18-24,Female,Colombo,John Keells;Cargills,Weekly,Location;Product Variety,Satisfied,Dissatisfied,Neutral,Satisfied,Neutral,To reduce the price for the essential items bought from the supermarket 
2024/08/09 5:44:45 am GMT+5:30,25-34,Female,Kalutara,Cargills,Monthly,Pricing,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Yes
2024/08/09 6:28:03 am GMT+5:30,18-24,Male,Hambantota,John Keells;Cargills,Weekly,Pricing;Product Quality;Customer Service;Loyalty Programs;Product Variety,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Product quality 
2024/08/09 6:38:16 am GMT+5:30,18-24,Female,Galle,Cargills,Weekly,Product Quality,Very Dissatisfied,Neutral,Neutral,Very Dissatisfied,Very Dissatisfied,Customer services 
2024/08/09 6:42:34 am GMT+5:30,18-24,Female,Kalutara,John Keells;Cargills;Arpico,Weekly,Product Quality;Location;Product Variety,Neutral,Neutral,Neutral,Neutral,Neutral,More product variety.
2024/08/09 6:44:46 am GMT+5:30,35-44,Male,Galle,John Keells;Cargills,Monthly,Pricing;Location,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,
2024/08/09 7:02:44 am GMT+5:30,18-24,Female,Kalutara,John Keells,Weekly,Pricing;Location;Promotions;Loyalty Programs,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,
2024/08/09 7:03:21 am GMT+5:30,18-24,Male,Kalutara,Cargills,Weekly,Location,Neutral,Neutral,Neutral,Neutral,Neutral,Product varieties 
2024/08/09 7:14:58 am GMT+5:30,35-44,Female,Galle,Cargills,Weekly,Customer Service,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Promotion 
2024/08/09 7:25:03 am GMT+5:30,25-34,Female,Galle,John Keells,Weekly,Pricing;Product Quality;Location;Customer Service;Promotions;Loyalty Programs;Product Variety,Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,More verities and more discounts 
2024/08/09 9:48:14 am GMT+5:30,45 and above,Male,Galle,Cargills,Weekly,Location,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,
2024/08/09 9:48:18 am GMT+5:30,25-34,Female,Galle,John Keells;Cargills,Monthly,Product Quality;Location;Customer Service;Promotions,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,More brands
2024/08/09 9:58:53 am GMT+5:30,35-44,Male,Galle,John Keells;Cargills;Arpico,Weekly;Monthly,Product Quality,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,
2024/08/09 4:57:32 pm GMT+5:30,25-34,Female,Galle,John Keells,Monthly,Product Quality,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,
2024/08/09 6:34:34 pm GMT+5:30,18-24,Female,Kandy,Cargills,Weekly,Product Quality,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,
2024/08/09 8:49:38 pm GMT+5:30,25-34,Female,Kalutara,John Keells,Monthly,Pricing;Location;Promotions;Loyalty Programs,Neutral,Neutral,Dissatisfied,Neutral,Neutral,
2024/08/09 10:06:33 pm GMT+5:30,18-24,Male,Colombo,Arpico,Monthly,Product Quality;Loyalty Programs,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,
2024/08/09 10:17:53 pm GMT+5:30,18-24,Female,Colombo,Cargills,Weekly,Product Quality;Location;Customer Service,Neutral,Satisfied,Very Satisfied,Satisfied,Neutral,
2024/08/10 6:34:50 am GMT+5:30,18-24,Female,Ratnapura,Cargills,Monthly,Product Quality;Product Variety,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Customer service 
2024/08/10 12:51:39 pm GMT+5:30,45 and above,Male,Colombo,John Keells;Cargills;Arpico,Monthly,Pricing;Product Quality;Promotions;Product Variety,Very Satisfied,Neutral,Satisfied,Satisfied,Neutral,Product Variety
2024/08/10 7:24:13 pm GMT+5:30,25-34,Male,Ratnapura,John Keells,Monthly,Product Quality,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Very Dissatisfied,
2024/08/11 10:25:08 am GMT+5:30,18-24,Female,Galle,John Keells;Cargills;Sathos;Sampath food city ,Weekly,Pricing;Product Quality;Location;Customer Service;Promotions;Loyalty Programs;Product Variety,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Shoud be develop with Technology 
2024/08/11 10:50:55 am GMT+5:30,45 and above,Male,Galle,John Keells,Weekly,Product Quality;Promotions;Product Variety,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,
2024/08/11 11:03:04 am GMT+5:30,25-34,Female,Gampaha,Cargills,Monthly,Location,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Give promotions and discount for products 
2024/08/11 11:14:31 am GMT+5:30,18-24,Female,Gampaha,John Keells,Weekly,Product Quality,Neutral,Satisfied,Satisfied,Very Satisfied,Very Satisfied,
2024/08/11 6:56:03 pm GMT+5:30,18-24,Female,Gampaha,John Keells,Weekly,Location;Promotions,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,
2024/08/11 7:47:38 pm GMT+5:30,18-24,Female,Gampaha,John Keells,Monthly,Pricing,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,
2024/08/28 11:18:15 am GMT+5:30,45 and above,Female,Matara,John Keells,Weekly,Product Quality;Location,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,
